酷安|com.coolapk.market
微信|com.tencent.mm
网易云音乐|com.netease.cloudmusic
QQ|com.tencent.mobileqq
RE管理器:Root Explorer|com.speedsoftware.rootexplorer
手机淘宝|com.taobao.taobao
哔哩哔哩|tv.danmaku.bili
新浪微博|com.sina.weibo
支付宝|com.eg.android.AlipayGphone
WiFi万能钥匙|com.snda.wifilocating
百度网盘|com.baidu.netdisk
Greenify绿色守护|com.oasisfeng.greenify
高德地图|com.autonavi.minimap
WPS Office|cn.wps.moffice_eng
知乎|com.zhihu.android
京东|com.jingdong.app.mall
一个木函|com.One.WoodenLetter
中国建设银行|com.chinamworld.main
百度地图|com.baidu.BaiduMap
Via浏览器|mark.via
ES文件浏览器|com.estrongs.android.pop
优酷视频|com.youku.phone
UC浏览器|com.UCMobile
美团-团购美食电影酒店优惠|com.sankuai.meituan
阿里星球:TTPod Android|com.sds.android.ttpod
快图浏览|com.alensw.PicFolder
百度贴吧|com.baidu.tieba
SuperSU权限管理|eu.chainfire.supersu
Xposed框架|de.robv.android.xposed.installer
腾讯视频|com.tencent.qqlive
讯飞输入法|com.iflytek.inputmethod
搜狗输入法|com.sohu.inputmethod.sogou
百度输入法|com.baidu.input
滴滴出行|com.sdu.didi.psnger
黑阈|me.piebridge.brevent
迅雷|com.xunlei.downloadprovider
QQ音乐|com.tencent.qqmusic
LBE安全大师(免ROOT)|com.lbe.security
夸克|com.quark.browser
酷狗音乐|com.kugou.android
爱奇艺|com.qiyi.video
联通手机营业厅(官方版)|com.sinovatech.unicom.ui
布卡漫画|cn.ibuka.manga.ui
闲鱼|com.taobao.idlefish
斗鱼直播|air.tv.douyu.android
QQ同步助手 换机必备通讯录软件照片一键安全备份|com.tencent.qqpim
静读天下:Moon+ Reader Pro|com.flyersoft.moonreaderp
饿了么|me.ele
墨迹天气|com.moji.mjweather
网易新闻（官方）|com.netease.newsreader.activity
抖音短视频|com.ss.android.ugc.aweme
Share微博客户端|com.hengye.share
QQ浏览器-腾讯王卡，全网免流量|com.tencent.mtt
多看阅读|com.duokan.reader
网易有道词典-英语学习翻译|com.youdao.dict
今日头条|com.ss.android.article.news
印象笔记|com.evernote
虾米音乐|fm.xiami.main
QQ邮箱|com.tencent.androidqqmail
暴风影音视频播放器|com.storm.smart
KingRoot-一键权限获取，授权管理|com.kingroot.kinguser
Adobe Flash Player|com.adobe.flashplayer
大众点评|com.dianping.v1
猎豹清理大师国际版:Clean Master|com.cleanmaster.mguard
PDF阅读器 Adobe reader|com.adobe.reader
YY|com.duowan.mobile
QQ阅读-小说漫画电子书阅读器|com.qq.reader
中国工商银行|com.icbc
阅读|com.gedoor.monkeybook
冰箱 Ice Box|com.catchingnow.icebox
美图秀秀|com.mt.mtxx.mtxx
扫描全能王|com.intsig.camscanner
MOMO陌陌|com.immomo.momo
安兔兔评测|com.antutu.ABenchMark
Adobe AIR for Android|com.adobe.air
快手|com.smile.gifmaker
爱奇艺PPS|tv.pps.mobile
X浏览器|com.mmbox.xbrowser
什么值得买|com.smzdm.client.android
Pure 轻雨 图标包|me.morirain.dev.iconpack.pure
即刻|com.ruguoapp.jike
存储空间清理|com.ktls.fileinfo
Pure天气|hanjie.app.pureweather
BeautyCam美颜相机|com.meitu.meiyancamera
QQ安全中心|com.tencent.token
掌上英雄联盟|com.tencent.qt.qtl
天猫|com.tmall.wireless
QQ国际版|com.tencent.mobileqqi
TIM-QQ办公简洁版|com.tencent.tim
影音先锋|com.xfplay.play
看点|com.qihoo360.daily
蜻蜓FM-听书|fm.qingting.qtradio
12306智行火车票|com.yipiao
QQ HD|com.tencent.minihd.qq
豆瓣|com.douban.frodo
携程旅行迪士尼酒店机票火车票旅游门票攻略团购|ctrip.android.view
爱字体|com.kapp.ifont
熊猫直播|com.panda.videoliveplatform
美团外卖-美食水果优惠订餐|com.sankuai.meituan.takeoutnew
PP视频（原PPTV聚力视频）|com.pplive.androidphone
VC浏览器|com.funnylemon.browser
摩拜单车|com.mobike.mobikeapp
汽车之家|com.cubic.autohome
乐视视频|com.letv.android.client
QQ空间|com.qzone
微博国际版|com.weico.international
索尼音乐|com.sonyericsson.music
铁路12306|com.MobileTicket
字体管家（一键更换字体）|com.xinmei365.font
小米商城|com.xiaomi.shop
米家|com.xiaomi.smarthome
AcFun|tv.acfundanmaku.video
MT管理器2.0|bin.mt.plus
小米运动|com.xiaomi.hm.health
Sorcery 图标|com.sorcerer.sorcery.iconpack
虎牙直播|com.duowan.kiwi
相机360|vStudio.Android.Camera360
追书神器|com.ushaqi.zhuishushenqi
搜狐视频-电影电视剧美剧影音视频播放器|com.sohu.sohuvideo
喜马拉雅-听有声小说新闻音乐相声|com.ximalaya.ting.android
IT之家|com.ruanmei.ithome
安卓壁纸-含动态壁纸|com.androidesk
猎豹清理大师|com.cleanmaster.mguard_cn
酷我音乐播放器|cn.kuwo.player
共享单车|so.ofo.labofo
亚马逊|cn.amazon.mShop.android
京东金融|com.jd.jrapp
随手记理财记账|com.mymoney
WiFi万能钥匙国际版|com.halo.wifikey.wifilocating
中国移动|com.greenpoint.android.mc10086.activity
星空视频壁纸|yyc.xk
360安全桌面（手机版）|com.qihoo360.launcher
360卫士极客版|com.qihoo.antivirus
招商银行|cmb.pb
去哪儿旅行-酒店.火车|com.Qunar
微软桌面|com.microsoft.launcher
同花顺手机炒股股票软件|com.hexin.plat.android
